time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,ang_pos_x,ang_pos_y,ang_pos_z,ang_vel_x,ang_vel_y,ang_vel_z,ang_accel_x,ang_accel_y,ang_accel_z,alpha,baro_alt,imu_accel_x,imu_accel_y,imu_accel_z,imu_ang_pos_x,imu_ang_pos_y,imu_ang_pos_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,kalman_x_pos,kalman_x_vel,kalman_x_accel,kalman_y_pos,kalman_y_vel,kalman_y_accel,kalman_z_pos,kalman_z_vel,kalman_z_accel
7.119999999999893,2029.3860133249382,0.0,-113.64913164298832,296.3475857134068,0.0,-17.817635012873836,-25.481319753716416,0.0,0.9426159989395823,0.0,0.06000370157002531,0.0,0.0,-0.0005033714565983483,0.0,0.0,5.020222974428837e-07,0.0,0.06007165587316775,2029.4558674191696,-15.725199316453208,-0.020354597819968585,-0.01598140410443757,0.004173287155531443,0.1014881794196271,-0.013376648608638403,0.000617679214149778,-0.001885047015795947,-0.0007415355329098251,0.401658125313644,0.8807410023830121,0.8562187781518203,2.5938523204301045e-05,-0.0002798677936851252,-6.053175086600269e-05,5.52807198126587,1.9763760982190413,0.3879678084483693
7.129999999999892,2032.3494891820724,0.0,-113.82730799311707,296.0943653184976,0.0,-17.808305013786995,-25.450385829088074,0.0,0.9406805598309836,0.0,0.059998667855459334,0.0,0.0,-0.0005032821574335097,0.0,0.0,1.2464537815065994e-06,0.0,0.06009152843823382,2032.4313562908453,-15.691340155541722,0.011539246351082789,-0.011323492666998638,-0.03242864117441581,0.08035642308870526,-0.0654461580920266,-0.0007890204859595688,0.000817030866965679,0.0003725804286619828,0.39952837718875334,0.8775546501039221,0.8537989176603262,0.00036849700077900416,-0.0001110483267500898,5.559056450638203e-06,5.549124853374248,1.9808786645741268,0.38821079054102664
7.139999999999892,2035.3104328352574,0.0,-114.00539104325495,295.8414506458817,0.0,-17.79899411113324,-25.41952628664984,0.0,0.9387506553994176,0.0,0.059993635033884996,0.0,0.0,-0.0005031714533700144,0.0,0.0,2.3229958065152e-06,0.0,0.060111437276351855,2035.4781397172264,-15.663418290395677,-0.0024795928716556796,0.008161814537383844,0.014331082057579356,0.20649777622856175,-0.04790579758706513,-0.0010946961337629897,0.00020260948505483915,-0.0014669571341418123,0.40031156937312024,0.8785558519422829,0.854390558726121,0.00027307619868106127,-0.0001572126653084906,-1.2458813561556097e-05,5.570604238482023,1.9855699900155288,0.3885262470259623
7.149999999999892,2038.268847341716,0.0,-114.18338098436627,295.58884096287073,0.0,-17.789702250286457,-25.388740887549016,0.0,0.9368262717010997,0.0,0.0599886033193513,0.0,0.0,-0.0005030360385251952,0.0,0.0,3.731096381508649e-06,0.0,0.060131382383253766,2038.2864198757518,-15.617106081651395,0.012985316635472833,0.0030372635670452234,0.029543257646661793,-0.01151412401361264,-0.059993110091393825,0.00015811789506637835,0.00012750731688183665,-0.0006415252624667386,0.40034993113991035,0.8784635330064917,0.854166056368805,3.0790244435389513e-06,-0.00028875557718301473,-6.365541027515342e-05,5.591817367431144,1.990110327287708,0.388781444318828
7.159999999999892,2041.2247357513447,0.0,-114.36127800686913,295.3365355391207,0.0,-17.78042937675381,-25.358029393876905,0.0,0.9349073953219753,0.0,0.059983572958966044,0.0,0.0,-0.0005028726127700298,0.0,0.0,5.47019139312505e-06,0.0,0.06015136348226353,2041.2118401431214,-15.598842981347156,-0.011736326034197218,0.0036777459372426763,0.009534683627870974,0.13744914975526834,-0.015528794181304177,-0.001411863380175054,0.0011255123556930336,-0.0010968684116728258,0.40070386533044566,0.8788396175259566,0.854305270695774,-3.330930521612735e-06,-0.0002911133893230782,-6.432551561242703e-05,5.61333770395956,1.9947806052867731,0.38908606628348935
7.169999999999892,2044.178101106736,0.0,-114.53908230063666,295.0850125815947,0.0,-17.771204198906116,-25.3274419968651,0.0,0.9329970418635531,0.0,0.05997854423283834,0.0,0.0,-0.0005026778818822275,0.0,0.0,7.539702470646099e-06,0.0,0.06017138076855295,2044.0891120523493,-15.57470025330179,-0.0020652106182697952,-0.0013965689756225144,0.028132585617528114,0.1341173027395935,0.009208988124959294,-0.0016198400978814683,0.0003976124291442107,-0.001342909288226322,0.40141595253030443,0.879724634137939,0.8548084463457886,0.00013823859208106994,-0.00022115960442976596,-3.6859450540575355e-05,5.635274017786897,1.9996335757276469,0.38946037899902775
7.179999999999891,2047.128951232552,0.0,-114.71679434262572,294.83379099633083,0.0,-17.76199781127787,-25.296927762365478,0.0,0.9310921537271604,0.0,0.05997351745401952,0.0,0.0,-0.0005024485577096691,0.0,0.0,9.939035708794375e-06,0.0,0.0601914342375322,2047.0527673569693,-15.529038917474004,-0.002944695309898436,0.033338463111653116,0.045737649998986336,-0.011598367081386507,0.05518076415241207,-0.0006974980183016015,-0.001399842174427244,-0.0011012424142018854,0.4040978977057645,0.8834087976495094,0.8572937005399286,0.0006147711101799507,1.2161919380679315e-05,5.399873985480575e-05,5.657103938722937,2.004413701533988,0.3898046679597282
7.189999999999891,2050.077289142515,0.0,-114.89441432073849,294.58287006483835,0.0,-17.752810160053865,-25.266486456625994,0.0,0.9291927191090216,0.0,0.05996849296844242,0.0,0.0,-0.0005021813583721125,0.0,0.0,1.2667578216194908e-05,0.0,0.06021152388450265,2050.072717267921,-15.46990299741518,-0.0022102969894315567,0.0020763484431477386,0.026414198607891185,0.08032014757193412,0.05345640026577397,0.0012961103184720077,-0.0005652584892013922,-0.0016749934941447588,0.40091939527961035,0.878701380708709,0.853788032814969,0.0005720933688539522,-8.170330834663626e-06,4.58889901632372e-05,5.678435983111627,2.008930286285259,0.390044996238314
7.199999999999891,2053.023117843163,0.0,-115.07194242233902,294.33224907091375,0.0,-17.74364119153119,-25.236117846815382,0.0,0.9272987266915937,0.0,0.0599634711548587,0.0,0.0,-0.0005018730084776186,0.0,0.0,1.5724696557592165e-05,0.0,0.06023164970460917,2053.1224581916413,-15.514474069549784,-0.008077345620480127,-0.010580958381486089,0.017071058838528226,0.01161896775851038,-0.02871344708470384,-0.0014473448396524241,-0.0012355578193058128,-0.0001238336344009792,0.40362491467787864,0.8824243860855242,0.8563092726737853,0.0008620967035483276,0.00013360618263885554,0.00010076093970236717,5.700048416208867,2.0135632483954304,0.39032942197796555
7.209999999999891,2055.966440333872,0.0,-115.24937883425434,294.0819273006321,0.0,-17.734490852114533,-25.205821701019175,0.0,0.9254101656329693,0.0,0.05995845242477392,0.0,0.0,-0.0005015202393586108,0.0,0.0,1.9109734700604465e-05,0.0,0.060251811692853305,2056.003445633807,-15.42695628539802,0.04045454017179098,-0.00911268815578933,-0.0008783834308685924,0.04082768547788685,0.007541911600355828,-0.00014288514028820844,0.0014020051952020295,-0.0004347069870213884,0.4014154754295418,0.87909273406444,0.8537724502495129,0.0009774236587057003,0.0001900886859532612,0.0001222871256385616,5.722120128790646,2.0183993001368665,0.39069136429865675
