mach,alpha_deg,protuberance,cd_power_off,CD_Power_On,CA_Power_Off,CA_Power_On,CN_Total,CP_Total
0.1,3.0,0.0,0.449,0.424,0.431,0.406,0.348,87.169
0.1,3.0,1.0,0.597,0.573,0.58,0.555,0.348,87.169
0.1,4.0,0.0,0.463,0.438,0.432,0.407,0.464,87.169
0.1,4.0,1.0,0.612,0.587,0.581,0.556,0.464,87.169
0.1,5.0,0.0,0.482,0.457,0.433,0.408,0.581,87.169
0.1,5.0,1.0,0.631,0.606,0.583,0.558,0.581,87.169
0.1,6.0,0.0,0.505,0.48,0.434,0.41,0.697,87.169
0.1,6.0,1.0,0.654,0.63,0.585,0.56,0.697,87.169
0.1,7.0,0.0,0.532,0.507,0.436,0.411,0.813,87.169
0.1,7.0,1.0,0.682,0.657,0.587,0.562,0.813,87.169
0.1,8.0,0.0,0.563,0.538,0.438,0.413,0.929,87.169
0.1,8.0,1.0,0.713,0.688,0.59,0.565,0.929,87.169
0.1,9.0,0.0,0.599,0.574,0.44,0.415,1.045,87.169
0.1,9.0,1.0,0.749,0.724,0.593,0.568,1.045,87.169
0.1,10.0,0.0,0.638,0.613,0.443,0.418,1.161,87.169
0.1,10.0,1.0,0.789,0.764,0.596,0.571,1.161,87.169
0.1,11.0,0.0,0.681,0.656,0.446,0.42,1.277,87.169
0.1,11.0,1.0,0.833,0.808,0.6,0.575,1.277,87.169
0.1,12.0,0.0,0.729,0.704,0.449,0.423,1.393,87.169
0.1,12.0,1.0,0.881,0.856,0.604,0.579,1.393,87.169
0.1,13.0,0.0,0.781,0.755,0.453,0.427,1.509,87.169
0.1,13.0,1.0,0.933,0.908,0.609,0.583,1.509,87.169
0.1,14.0,0.0,0.836,0.811,0.456,0.43,1.626,87.169
0.1,14.0,1.0,0.989,0.964,0.614,0.588,1.626,87.169
0.1,15.0,0.0,0.896,0.87,0.461,0.434,1.742,87.169
0.1,15.0,1.0,1.05,1.024,0.62,0.593,1.742,87.169
0.11,0.0,0.0,0.427,0.402,0.427,0.402,0.0,87.169
0.11,0.0,1.0,0.576,0.551,0.576,0.551,0.0,87.169
0.11,1.0,0.0,0.429,0.404,0.427,0.402,0.116,87.169
0.11,1.0,1.0,0.578,0.553,0.576,0.551,0.116,87.169
0.11,2.0,0.0,0.435,0.411,0.427,0.403,0.232,87.169
0.11,2.0,1.0,0.584,0.559,0.576,0.552,0.232,87.169
0.11,3.0,0.0,0.446,0.421,0.428,0.403,0.348,87.169
0.11,3.0,1.0,0.595,0.57,0.577,0.552,0.348,87.169
0.11,4.0,0.0,0.46,0.436,0.429,0.404,0.464,87.169
0.11,4.0,1.0,0.609,0.585,0.578,0.554,0.464,87.169
0.11,5.0,0.0,0.479,0.454,0.43,0.405,0.581,87.169
0.11,5.0,1.0,0.628,0.604,0.58,0.555,0.581,87.169
0.11,6.0,0.0,0.502,0.477,0.432,0.407,0.697,87.169
0.11,6.0,1.0,0.652,0.627,0.582,0.557,0.697,87.169
0.11,7.0,0.0,0.529,0.504,0.433,0.408,0.813,87.169
0.11,7.0,1.0,0.679,0.654,0.584,0.559,0.813,87.169
0.11,8.0,0.0,0.56,0.535,0.435,0.41,0.929,87.169
0.11,8.0,1.0,0.71,0.686,0.587,0.562,0.929,87.169
0.11,9.0,0.0,0.596,0.571,0.438,0.412,1.045,87.169
0.11,9.0,1.0,0.746,0.721,0.59,0.565,1.045,87.169
0.11,10.0,0.0,0.635,0.61,0.44,0.415,1.161,87.169
0.11,10.0,1.0,0.786,0.761,0.593,0.568,1.161,87.169
0.11,11.0,0.0,0.679,0.653,0.443,0.417,1.277,87.169
0.11,11.0,1.0,0.83,0.805,0.597,0.572,1.277,87.169
0.11,12.0,0.0,0.726,0.701,0.446,0.42,1.393,87.169
